0.00.022.124 I srv  llama_server: initializing ...
0.09.323.782 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.09.441.435 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.09.470.928 I srv    load_model: loading model 'D:\fable-coder-v4-7b.Q4_K_M.gguf'
0.11.141.250 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
2.01.473.438 I cmn          init: llama threadpool init, n_threads = 4
2.02.601.725 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
2.02.834.012 I srv  llama_server: model loaded
2.02.834.406 I srv  llama_server: listening on http://127.0.0.1:8084
2.03.218.368 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
2.03.233.164 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
2.05.992.111 I slot print_timing: id  0 | task 0 | prompt eval time =    1013.05 ms /    84 tokens (   12.06 ms per token,    82.92 tokens per second)
2.05.992.117 I slot print_timing: id  0 | task 0 |        eval time =    1745.90 ms /    83 tokens (   21.29 ms per token,    46.97 tokens per second)
2.05.992.119 I slot print_timing: id  0 | task 0 |       total time =    2758.96 ms /   167 tokens
2.05.992.122 I slot print_timing: id  0 | task 0 |    graphs reused =         82
2.05.992.152 I slot      release: id  0 | task 0 | stop processing: n_tokens = 166, truncated = 0
2.06.085.474 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.358 (> 0.100 thold), f_keep = 0.175
2.06.103.196 I slot launch_slot_: id  0 | task 84 | processing task, is_child = 0
2.08.255.873 I slot print_timing: id  0 | task 84 | prompt eval time =     231.03 ms /    52 tokens (    4.44 ms per token,   225.08 tokens per second)
2.08.255.882 I slot print_timing: id  0 | task 84 |        eval time =    1921.65 ms /   104 tokens (   18.66 ms per token,    53.60 tokens per second)
2.08.255.885 I slot print_timing: id  0 | task 84 |       total time =    2152.68 ms /   156 tokens
2.08.255.886 I slot print_timing: id  0 | task 84 |    graphs reused =        184
2.08.255.929 I slot      release: id  0 | task 84 | stop processing: n_tokens = 184, truncated = 0
2.08.305.417 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.232 (> 0.100 thold), f_keep = 0.158
2.08.310.497 I slot launch_slot_: id  0 | task 189 | processing task, is_child = 0
2.09.734.547 I slot print_timing: id  0 | task 189 | prompt eval time =     316.33 ms /    96 tokens (    3.30 ms per token,   303.48 tokens per second)
2.09.734.553 I slot print_timing: id  0 | task 189 |        eval time =    1107.72 ms /    63 tokens (   17.87 ms per token,    55.97 tokens per second)
2.09.734.555 I slot print_timing: id  0 | task 189 |       total time =    1424.05 ms /   159 tokens
2.09.734.556 I slot print_timing: id  0 | task 189 |    graphs reused =        245
2.09.734.584 I slot      release: id  0 | task 189 | stop processing: n_tokens = 187, truncated = 0
2.09.816.133 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.258 (> 0.100 thold), f_keep = 0.128
2.09.821.491 I slot launch_slot_: id  0 | task 253 | processing task, is_child = 0
2.10.578.828 I slot print_timing: id  0 | task 253 | prompt eval time =     249.97 ms /    69 tokens (    3.62 ms per token,   276.03 tokens per second)
2.10.578.834 I slot print_timing: id  0 | task 253 |        eval time =     507.35 ms /    32 tokens (   16.37 ms per token,    61.10 tokens per second)
2.10.578.835 I slot print_timing: id  0 | task 253 |       total time =     757.32 ms /   101 tokens
2.10.578.836 I slot print_timing: id  0 | task 253 |    graphs reused =        275
2.10.578.860 I slot      release: id  0 | task 253 | stop processing: n_tokens = 124, truncated = 0
2.10.637.463 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.233 (> 0.100 thold), f_keep = 0.194
2.10.641.165 I slot launch_slot_: id  0 | task 286 | processing task, is_child = 0
2.11.938.374 I slot print_timing: id  0 | task 286 | prompt eval time =     228.74 ms /    79 tokens (    2.90 ms per token,   345.38 tokens per second)
2.11.938.381 I slot print_timing: id  0 | task 286 |        eval time =    1068.47 ms /    56 tokens (   19.43 ms per token,    51.48 tokens per second)
2.11.938.383 I slot print_timing: id  0 | task 286 |       total time =    1297.20 ms /   135 tokens
2.11.938.384 I slot print_timing: id  0 | task 286 |    graphs reused =        329
2.11.938.412 I slot      release: id  0 | task 286 | stop processing: n_tokens = 158, truncated = 0
2.12.022.395 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.282 (> 0.100 thold), f_keep = 0.184
2.12.026.702 I slot launch_slot_: id  0 | task 343 | processing task, is_child = 0
2.13.096.594 I slot print_timing: id  0 | task 343 | prompt eval time =     194.30 ms /    74 tokens (    2.63 ms per token,   380.86 tokens per second)
2.13.096.600 I slot print_timing: id  0 | task 343 |        eval time =     875.59 ms /    54 tokens (   16.52 ms per token,    60.53 tokens per second)
2.13.096.602 I slot print_timing: id  0 | task 343 |       total time =    1069.88 ms /   128 tokens
2.13.096.603 I slot print_timing: id  0 | task 343 |    graphs reused =        381
2.13.096.628 I slot      release: id  0 | task 343 | stop processing: n_tokens = 156, truncated = 0
2.13.166.963 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.133 (> 0.100 thold), f_keep = 0.154
2.13.171.027 I slot launch_slot_: id  0 | task 398 | processing task, is_child = 0
2.14.331.899 I slot print_timing: id  0 | task 398 | prompt eval time =     479.19 ms /   156 tokens (    3.07 ms per token,   325.55 tokens per second)
2.14.331.906 I slot print_timing: id  0 | task 398 |        eval time =     681.67 ms /    39 tokens (   17.94 ms per token,    55.75 tokens per second)
2.14.331.908 I slot print_timing: id  0 | task 398 |       total time =    1160.87 ms /   195 tokens
2.14.331.909 I slot print_timing: id  0 | task 398 |    graphs reused =        418
2.14.331.943 I slot      release: id  0 | task 398 | stop processing: n_tokens = 218, truncated = 0
2.14.341.499 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.156 (> 0.100 thold), f_keep = 0.128
2.14.350.030 I slot launch_slot_: id  0 | task 438 | processing task, is_child = 0
2.15.430.752 I slot print_timing: id  0 | task 438 | prompt eval time =     232.59 ms /   151 tokens (    1.54 ms per token,   649.22 tokens per second)
2.15.430.759 I slot print_timing: id  0 | task 438 |        eval time =     848.11 ms /    51 tokens (   16.96 ms per token,    58.95 tokens per second)
2.15.430.761 I slot print_timing: id  0 | task 438 |       total time =    1080.70 ms /   202 tokens
2.15.430.763 I slot print_timing: id  0 | task 438 |    graphs reused =        467
2.15.430.802 I slot      release: id  0 | task 438 | stop processing: n_tokens = 229, truncated = 0
2.15.439.291 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.162 (> 0.100 thold), f_keep = 0.109
2.15.445.561 I slot launch_slot_: id  0 | task 490 | processing task, is_child = 0
2.16.339.022 I slot print_timing: id  0 | task 490 | prompt eval time =     227.95 ms /   129 tokens (    1.77 ms per token,   565.92 tokens per second)
2.16.339.028 I slot print_timing: id  0 | task 490 |        eval time =     665.50 ms /    39 tokens (   17.51 ms per token,    57.10 tokens per second)
2.16.339.030 I slot print_timing: id  0 | task 490 |       total time =     893.45 ms /   168 tokens
2.16.339.031 I slot print_timing: id  0 | task 490 |    graphs reused =        504
2.16.339.063 I slot      release: id  0 | task 490 | stop processing: n_tokens = 192, truncated = 0
2.16.346.720 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.211 (> 0.100 thold), f_keep = 0.125
2.16.351.904 I slot launch_slot_: id  0 | task 530 | processing task, is_child = 0
2.17.935.817 I slot print_timing: id  0 | task 530 | prompt eval time =     309.31 ms /    90 tokens (    3.44 ms per token,   290.97 tokens per second)
2.17.935.824 I slot print_timing: id  0 | task 530 |        eval time =    1274.60 ms /    68 tokens (   19.02 ms per token,    52.57 tokens per second)
2.17.935.826 I slot print_timing: id  0 | task 530 |       total time =    1583.91 ms /   158 tokens
2.17.935.827 I slot print_timing: id  0 | task 530 |    graphs reused =        570
2.17.935.855 I slot      release: id  0 | task 530 | stop processing: n_tokens = 181, truncated = 0
2.17.944.608 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.255 (> 0.100 thold), f_keep = 0.133
2.17.949.769 I slot launch_slot_: id  0 | task 599 | processing task, is_child = 0
2.21.223.346 I slot print_timing: id  0 | task 599 | n_gen =    164, tg =  54.00 t/s, tg_3s =  54.33 t/s
2.22.425.176 I slot print_timing: id  0 | task 599 | prompt eval time =     254.84 ms /    70 tokens (    3.64 ms per token,   274.68 tokens per second)
2.22.425.182 I slot print_timing: id  0 | task 599 |        eval time =    4220.62 ms /   228 tokens (   18.59 ms per token,    53.78 tokens per second)
2.22.425.184 I slot print_timing: id  0 | task 599 |       total time =    4475.46 ms /   298 tokens
2.22.425.185 I slot print_timing: id  0 | task 599 |    graphs reused =        795
2.22.425.214 I slot      release: id  0 | task 599 | stop processing: n_tokens = 321, truncated = 0
2.22.432.776 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.255 (> 0.100 thold), f_keep = 0.075
2.22.441.194 I slot launch_slot_: id  0 | task 828 | processing task, is_child = 0
2.25.784.061 I slot print_timing: id  0 | task 828 | n_gen =    153, tg =  50.56 t/s, tg_3s =  50.89 t/s
2.26.557.989 I slot print_timing: id  0 | task 828 | prompt eval time =     336.65 ms /    70 tokens (    4.81 ms per token,   207.93 tokens per second)
2.26.557.996 I slot print_timing: id  0 | task 828 |        eval time =    3780.19 ms /   187 tokens (   20.32 ms per token,    49.20 tokens per second)
2.26.557.998 I slot print_timing: id  0 | task 828 |       total time =    4116.84 ms /   257 tokens
2.26.557.999 I slot print_timing: id  0 | task 828 |    graphs reused =        979
