0.00.000.866 I srv  llama_server: initializing ...
0.00.110.543 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.110.926 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.126.006 I srv    load_model: loading model 'D:\qwen2.5-coder-7b-instruct-q4_k_m.gguf'
0.01.093.098 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
1.53.698.700 I cmn          init: llama threadpool init, n_threads = 4
1.53.785.952 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
1.53.798.463 I srv  llama_server: model loaded
1.53.798.471 I srv  llama_server: listening on http://127.0.0.1:8085
1.54.744.960 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.54.745.012 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.56.232.199 I slot print_timing: id  0 | task 0 | prompt eval time =     121.90 ms /    84 tokens (    1.45 ms per token,   689.11 tokens per second)
1.56.232.206 I slot print_timing: id  0 | task 0 |        eval time =    1365.29 ms /    81 tokens (   17.07 ms per token,    58.60 tokens per second)
1.56.232.207 I slot print_timing: id  0 | task 0 |       total time =    1487.19 ms /   165 tokens
1.56.232.208 I slot print_timing: id  0 | task 0 |    graphs reused =         80
1.56.232.241 I slot      release: id  0 | task 0 | stop processing: n_tokens = 164, truncated = 0
1.56.337.206 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.358 (> 0.100 thold), f_keep = 0.177
1.56.341.915 I slot launch_slot_: id  0 | task 82 | processing task, is_child = 0
1.59.119.276 I slot print_timing: id  0 | task 82 | prompt eval time =     119.29 ms /    52 tokens (    2.29 ms per token,   435.92 tokens per second)
1.59.119.284 I slot print_timing: id  0 | task 82 |        eval time =    2658.11 ms /   159 tokens (   16.82 ms per token,    59.44 tokens per second)
1.59.119.285 I slot print_timing: id  0 | task 82 |       total time =    2777.40 ms /   211 tokens
1.59.119.287 I slot print_timing: id  0 | task 82 |    graphs reused =        237
1.59.119.331 I slot      release: id  0 | task 82 | stop processing: n_tokens = 239, truncated = 0
1.59.198.758 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.232 (> 0.100 thold), f_keep = 0.121
1.59.205.992 I slot launch_slot_: id  0 | task 242 | processing task, is_child = 0
2.00.645.039 I slot print_timing: id  0 | task 242 | prompt eval time =      97.87 ms /    96 tokens (    1.02 ms per token,   980.89 tokens per second)
2.00.645.046 I slot print_timing: id  0 | task 242 |        eval time =    1341.18 ms /    80 tokens (   16.98 ms per token,    58.90 tokens per second)
2.00.645.047 I slot print_timing: id  0 | task 242 |       total time =    1439.05 ms /   176 tokens
2.00.645.048 I slot print_timing: id  0 | task 242 |    graphs reused =        315
2.00.645.076 I slot      release: id  0 | task 242 | stop processing: n_tokens = 204, truncated = 0
2.00.779.309 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.258 (> 0.100 thold), f_keep = 0.118
2.00.784.781 I slot launch_slot_: id  0 | task 323 | processing task, is_child = 0
